Symbol,Name,Price,Volume,Day Hi,Day Lo,Date,Time,Prev. Close
CRZ12.NYB,CRB Futures Price,$306.50,0,$306.50,$306.50,17-Dec-12,7:55pm,$306.50
CRH13.NYB,CRB Futures Price,$306.10,0,$306.10,$306.10,11-Mar-13,6:48pm,$306.10
CRM13.NYB,CRB Futures Price,$306.20,0,$306.20,$306.20,15-Mar-13,12:44pm,$306.20
CRU13.NYB,CRB Futures Price,$306.40,0,$306.40,$306.40,15-Mar-13,11:27am,$306.40
GIH13.CME,Goldman Sachs Com,$653.00,36,$653.00,$651.90,15-Mar-13,9:33am,$647.50
GIJ13.CME,Goldman Sachs Com,$653.20,207,$655.10,$652.35,15-Mar-13,11:36am,$649.50
^XAU,PHLX Gold/Silver ,$134.69,0,$135.29,$133.97,15-Mar-13,1:52pm,$133.96
GDX,Market Vectors Go,$37.32,"6,929,399",$37.57,$37.10,15-Mar-13,1:37pm,$37.25
GDXJ,Market Vectors Ju,$16.90,"2,331,463",$16.97,$16.58,15-Mar-13,1:37pm,$16.58
GLD,SPDR Gold Trust,$154.13,"3,516,081",$154.72,$154.10,15-Mar-13,1:37pm,$153.68
SLV,iShares Silver Tr,$27.86,"3,575,491",$28.06,$27.83,15-Mar-13,1:37pm,$27.80
