Symbol,Name,Price,Volume,Day Hi,Day Lo,Date,Time,Prev. Close
CCH13.NYB,Cocoa Mar 13,"$2,148.00",4,"$2,167.00","$2,148.00",14-Mar-13,6:34pm,"$2,148.00"
CCK13.NYB,Cocoa May 13,"$2,108.00","10,366","$2,150.00","$2,106.00",15-Mar-13,1:22pm,"$2,130.00"
CCN13.NYB,Cocoa Jul 13,"$2,124.00","6,450","$2,162.00","$2,122.00",15-Mar-13,1:22pm,"$2,143.00"
CCU13.NYB,Cocoa Sep 13,"$2,135.00",729,"$2,175.00","$2,135.00",15-Mar-13,1:09pm,"$2,156.00"
CCZ13.NYB,Cocoa Dec 13,"$2,153.00",554,"$2,182.00","$2,145.00",15-Mar-13,1:08pm,"$2,165.00"
CCH14.NYB,Cocoa Mar 14,"$2,160.00",54,"$2,163.00","$2,160.00",15-Mar-13,1:08pm,"$2,172.00"
CCK14.NYB,Cocoa May 14,"$2,167.00",5,"$2,215.00","$2,167.00",15-Mar-13,1:08pm,"$2,179.00"
CCN14.NYB,Cocoa Jul 14,"$2,172.00",37,"$2,205.00","$2,172.00",15-Mar-13,1:08pm,"$2,184.00"
CCU14.NYB,Cocoa Sep 14,"$2,180.00",106,"$2,208.00","$2,180.00",15-Mar-13,1:08pm,"$2,192.00"
CCZ14.NYB,Cocoa Dec 14,"$2,192.00",1,"$2,345.00","$2,122.00",15-Mar-13,1:08pm,"$2,204.00"
KCH13.NYB,Coffee Mar 13,$137.40,7,$137.40,$137.40,15-Mar-13,1:06pm,$138.90
KCK13.NYB,Coffee May 13,$137.65,"13,360",$139.80,$137.15,15-Mar-13,1:22pm,$139.65
KCN13.NYB,Coffee Jul 13,$140.50,"4,865",$142.40,$139.90,15-Mar-13,1:21pm,$142.35
KCU13.NYB,Coffee Sep 13,$143.35,"2,649",$144.85,$142.60,15-Mar-13,1:20pm,$145.00
KCZ13.NYB,Coffee Dec 13,$147.20,908,$148.85,$146.50,15-Mar-13,1:19pm,$148.85
KCH14.NYB,Coffee Mar 14,$150.30,108,$152.50,$150.30,15-Mar-13,1:12pm,$152.65
KCK14.NYB,Coffee May 14,$152.50,41,$153.85,$152.50,15-Mar-13,1:12pm,$154.85
KCN14.NYB,Coffee Jul 14,$154.50,68,$155.00,$154.50,15-Mar-13,1:12pm,$156.80
KCU14.NYB,Coffee Sep 14,$158.55,2,$158.55,$158.30,15-Mar-13,1:06pm,$158.55
KCZ14.NYB,Coffee Dec 14,$161.00,1,$161.00,$160.30,15-Mar-13,1:06pm,$161.00
KCK15.NYB,Coffee May 15,$165.10,0,$208.50,$165.10,15-Mar-13,1:06pm,$165.10
KCN15.NYB,Coffee Jul 15,$166.60,0,$208.50,$166.60,15-Mar-13,1:06pm,$166.60
KCU15.NYB,Coffee Sep 15,$166.60,0,$208.50,$166.60,15-Mar-13,1:06pm,$166.60
KCZ15.NYB,Coffee Dec 15,$166.60,0,$181.05,$166.60,15-Mar-13,1:06pm,$166.60
CTK13.NYB,Cotton May 13,$92.73,"18,201",$93.93,$90.50,15-Mar-13,1:22pm,$90.86
CTN13.NYB,Cotton Jul 13,$93.18,"8,153",$94.20,$91.03,15-Mar-13,1:22pm,$91.54
CTV13.NYB,Cotton Oct 13,$89.42,8,$89.60,$88.35,15-Mar-13,1:06pm,$89.42
CTZ13.NYB,Cotton Dec 13,$88.61,"4,047",$89.20,$88.16,15-Mar-13,1:19pm,$88.54
CTH14.NYB,Cotton Mar 14,$87.60,64,$88.00,$87.60,15-Mar-13,1:06pm,$87.66
CTK14.NYB,Cotton May 14,$87.24,5,$87.84,$87.24,15-Mar-13,1:06pm,$87.45
CTN14.NYB,Cotton Jul 14,$87.25,1,$87.25,$85.61,15-Mar-13,1:06pm,$87.25
CTV14.NYB,Cotton Oct 14,$86.71,0,$86.71,$75.86,15-Mar-13,1:06pm,$86.71
CTZ14.NYB,Cotton Dec 14,$86.00,27,$86.00,$86.00,15-Mar-13,1:06pm,$85.55
CTH15.NYB,Cotton Mar 15,$85.89,0,$85.89,$75.65,15-Mar-13,1:06pm,$85.89
CTK15.NYB,Cotton May 15,$86.14,0,$86.14,$75.65,15-Mar-13,1:06pm,$86.14
CTV15.NYB,Cotton Oct 15,$86.39,0,$86.39,$75.65,15-Mar-13,1:06pm,$86.39
LBH13.CME,Lumber Mar 13,$396.00,141,$396.00,$390.00,15-Mar-13,1:04pm,$395.10
LBK13.CME,Lumber May 13,$404.50,342,$409.00,$402.20,15-Mar-13,1:04pm,$406.30
LBN13.CME,Lumber Jul 13,$403.70,107,$407.50,$401.90,15-Mar-13,12:53pm,$405.70
LBU13.CME,Lumber Sep 13,$397.60,34,$402.70,$397.10,15-Mar-13,12:51pm,$400.70
LBX13.CME,Lumber Nov 13,$384.10,4,$384.40,$382.90,14-Mar-13,12:55pm,$382.90
OJK13.NYB,Orange Juice May ,$139.20,993,$139.70,$135.75,15-Mar-13,1:19pm,$136.95
OJN13.NYB,Orange Juice Jul ,$136.80,75,$137.20,$134.60,15-Mar-13,1:17pm,$134.65
OJU13.NYB,Orange Juice Sep ,$137.00,12,$137.30,$135.30,15-Mar-13,1:17pm,$134.90
OJX13.NYB,Orange Juice Nov ,$135.40,4,$135.45,$135.40,15-Mar-13,1:06pm,$133.55
OJH14.NYB,Orange Juice Mar ,$130.85,0,$144.75,$115.35,15-Mar-13,1:06pm,$130.85
