Ticker,Security,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK
ABT,Abbott Laboratories,Health Care,Health Care Equipment & Services,"North Chicago, Illinois",,1800
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",12/31/2012,1551152
ACE,ACE Limited,Financials,Property & Casualty Insurance,"Zurich, Switzerland",,896159
ACN,Accenture plc,Information Technology,IT Consulting & Services,"Dublin, Ireland",,1467373
ACT,Actavis plc,Health Care,Pharmaceuticals,"Dublin, Ireland",,884629
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",,796343
ADT,ADT Corp,Industrials,Diversified Commercial Services,"Boca Raton, Florida",10/1/2012,1546640
AES,AES Corp,Utilities,Electric Utilities,"Arlington, Virginia",,874761
AET,Aetna Inc,Health Care,Managed Health Care,"Hartford, Connecticut",6/30/1976,1122304
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",,4977
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,"Beverly, Massachusetts",7/1/2014,1004434
A,Agilent Technologies Inc,Health Care,Health Care Equipment & Services,"Santa Clara, California",,1090872
GAS,AGL Resources Inc.,Utilities,Gas Utilities,"Atlanta, Georgia",,1004155
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,"Allentown, Pennsylvania",4/30/1985,2969
ARG,Airgas Inc,Materials,Industrial Gases,"Radnor, Pennsylvania",,804212
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",,1086222
AA,Alcoa Inc,Materials,Aluminum,"New York, New York",,4281
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",5/24/2012,899866
ATI,Allegheny Technologies Inc,Materials,Diversified Metals & Mining,"Pittsburgh, Pennsylvania",12/31/1978,1018963
ALLE,Allegion,Industrials,Building Products,"Dublin, Ireland",12/2/2013,1579241
AGN,Allergan Inc,Health Care,Pharmaceuticals,"Irvine, California",2/7/1992,850693
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",,1101215
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",,899051
ALTR,Altera Corp,Information Technology,Semiconductors,"San Jose, California",,768251
MO,Altria Group Inc,Consumer Staples,Tobacco,"Richmond, Virginia",,764180
AMZN,Amazon.com Inc,Consumer Discretionary,Internet Retail,"Seattle, Washington",,1018724
AEE,Ameren Corp,Utilities,Multi-Utilities & Unregulated Power,"St. Louis, Missouri",9/19/1991,1002910
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",,4904
AXP,American Express Co,Financials,Consumer Finance,"New York, New York",6/30/1976,4962
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",3/31/1980,5272
AMT,American Tower Corp A,Financials,REITs,"Boston, Massachusetts",,1053507
AMP,Ameriprise Financial,Financials,Diversified Financial Services,"Minneapolis, Minnesota",,820027
ABC,AmerisourceBergen Corp,Health Care,Health Care Distribution & Services,"Chesterbrook, Pennsylvania",,1140859
AME,Ametek,Industrials,Electrical Components and Equipment,"Berwyn, Pennsylvania",9/20/2013,1037868
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",1/2/1992,318154
APH,Amphenol Corp A,Industrials,Electrical Components & Equipment,"Wallingford, Connecticut",,820313
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",,773910
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",,6281
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",,315293
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",,6769
AIV,Apartment Investment & Mgmt,Financials,REITs,"Denver, Colorado",,922864
AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",11/30/1982,320193
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",,6951
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",7/29/1981,7084
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",,1267238
T,AT&T Inc,Telecommunications Services,Integrated Telecommunications Services,"Dallas, Texas",11/30/1983,732717
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",12/1/1989,769397
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",3/31/1981,8670
AN,AutoNation Inc,Consumer Discretionary,Specialty Stores,"Fort Lauderdale, Florida",,350698
AZO,AutoZone Inc,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",,866787
AVGO,Avago Technologies,Information Technology,Semiconductors,"San Jose, California",5/8/2014,1441634
AVB,"AvalonBay Communities, Inc.",Financials,REITs,"Arlington, Virginia[1]",,915912
AVY,Avery Dennison Corp,Materials,Paper Packaging,"Glendale, California",12/31/1987,8818
AVP,Avon Products,Consumer Staples,Personal Products,"New York, New York",6/30/1967,8868
BHI,Baker Hughes Inc,Energy,Oil & Gas Equipment & Services,"Houston, Texas",,808362
BLL,Ball Corp,Materials,Metal & Glass Containers,"Broomfield, Colorado",10/31/1984,9389
BAC,Bank of America Corp,Financials,Banks,"Charlotte, North Carolina",6/30/1976,70858
BK,The Bank of New York Mellon Corp.,Financials,Banks,"New York, New York",,1390777
BCR,Bard (C.R.) Inc.,Health Care,Health Care Equipment & Services,"Murray Hill, New Jersey",6/30/1975,9892
BAX,Baxter International Inc.,Health Care,Health Care Equipment & Services,"Deerfield, Illinois",9/30/1972,10456
BBT,BB&T Corporation,Financials,Banks,"Winston-Salem, North Carolina",,92230
BDX,Becton Dickinson,Health Care,Health Care Equipment & Services,"Franklin Lakes, New Jersey",9/30/1972,10795
BBBY,Bed Bath & Beyond,Consumer Discretionary,Specialty Stores,"Union, New Jersey",,886158
BMS,Bemis Company,Materials,Paper Packaging,"Neenah, Wisconsin",9/30/1978,11199
BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",,1067983
BBY,Best Buy Co. Inc.,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",,764478
BIIB,BIOGEN IDEC Inc.,Health Care,Biotechnology,"Weston, Massachusetts",,875045
BLK,BlackRock,Financials,Diversified Financial Services,"New York, New York",,1364742
