Symbol,Name,Price,Volume,Day Hi,Day Lo,Date,Time,Prev. Close
CH13.CBT,Corn Mar 13,$747.00,187,$749.00,$747.00,14-Mar-13,11:43am,$732.75
CK13.CBT,Corn May 13,$717.00,"69,962",$719.00,$712.50,15-Mar-13,1:42pm,$716.50
CN13.CBT,Corn Jul 13,$699.00,"25,786",$700.50,$700.50,15-Mar-13,1:41pm,$698.50
CU13.CBT,Corn Sep 13,$583.75,"7,992",$584.00,$581.25,15-Mar-13,1:42pm,$584.00
CZ13.CBT,Corn Dec 13,$559.50,"17,030",$559.25,$556.75,15-Mar-13,1:41pm,$559.25
CH14.CBT,Corn Mar 14,$567.25,718,$569.00,$564.00,15-Mar-13,1:31pm,$569.00
CZ14.CBT,Corn Dec 14,$549.00,416,$549.25,$544.25,15-Mar-13,1:38pm,$548.75
CH15.CBT,Corn Mar 15,$549.75,1,$550.00,$549.75,15-Mar-13,1:14pm,$553.00
CK15.CBT,Corn May 15,$550.00,0,N/A,N/A,15-Mar-13,1:14pm,$556.25
CZ16.CBT,Corn Dec 16,$525.00,0,N/A,N/A,15-Mar-13,11:50am,$525.25
ON13.CBT,Oats Jul 13,$389.75,64,$390.00,$385.00,15-Mar-13,1:42pm,$385.25
OU13.CBT,Oats Sep 13,$376.50,2,$376.50,$376.50,15-Mar-13,1:14pm,$373.75
OZ13.CBT,Oats Dec 13,$367.50,21,$367.50,$363.00,15-Mar-13,1:14pm,$365.75
RRK13.CBT,Rough Rice May 13,$14.68,413,$14.70,$14.50,15-Mar-13,1:40pm,$14.54
RRN13.CBT,Rough Rice Jul 13,$14.91,46,$14.98,$14.80,15-Mar-13,1:14pm,$14.83
RRX13.CBT,Rough Rice Nov 13,$14.78,5,$14.78,$14.78,15-Mar-13,11:52am,$14.85
SMH13.CBT,Soybean Meal Mar ,$423.50,372,$438.00,$423.50,12-Mar-13,10:30am,$422.80
SMK13.CBT,Soybean Meal May ,$418.90,"34,779",$424.00,$418.40,15-Mar-13,1:42pm,$425.00
SMN13.CBT,Soybean Meal Jul ,$413.00,"12,564",$412.50,$412.50,15-Mar-13,1:42pm,$418.30
SMQ13.CBT,Soybean Meal Aug ,$401.50,844,$404.00,$394.30,15-Mar-13,1:18pm,$401.50
SMU13.CBT,Soybean Meal Sep ,$369.10,461,$375.80,$368.20,15-Mar-13,1:14pm,$374.30
SMV13.CBT,Soybean Meal Oct ,$354.40,344,$358.30,$351.80,15-Mar-13,1:33pm,$356.40
SMN14.CBT,Soybean Meal Jul ,$360.00,2,$360.00,$360.00,15-Mar-13,1:14pm,$360.00
BOH13.CBT,Soybean Oil Mar 1,$49.05,97,$49.05,$49.05,11-Mar-13,10:30am,$49.09
BOK13.CBT,Soybean Oil May 1,$49.91,"32,276",$50.15,$49.70,15-Mar-13,1:42pm,$49.34
BON13.CBT,Soybean Oil Jul 1,$50.14,"14,098",$50.38,$49.95,15-Mar-13,1:41pm,$49.58
BOQ13.CBT,Soybean Oil Aug 1,$50.14,"1,939",$50.35,$49.64,15-Mar-13,1:14pm,$49.57
BOU13.CBT,Soybean Oil Sep 1,$49.91,"1,224",$50.15,$49.45,15-Mar-13,1:27pm,$49.48
BOV13.CBT,Soybean Oil Oct 1,$49.63,726,$49.91,$49.25,15-Mar-13,1:33pm,$49.21
BOZ13.CBT,Soybean Oil Dec 1,$49.57,"6,180",$49.80,$49.10,15-Mar-13,1:41pm,$49.10
SH13.CBT,Soybeans Mar 13,"$1,513.00",102,"$1,514.50","$1,507.00",11-Mar-13,10:30am,"$1,457.25"
SK13.CBT,Soybeans May 13,"$1,426.75","72,686","$1,439.50","$1,424.50",15-Mar-13,1:42pm,"$1,435.50"
SN13.CBT,Soybeans Jul 13,"$1,410.50","35,151","$1,425.75","$1,407.50",15-Mar-13,1:42pm,"$1,416.00"
SX13.CBT,Soybeans Nov 13,"$1,259.25","13,916","$1,264.75","$1,254.25",15-Mar-13,1:41pm,"$1,259.75"
SX14.CBT,Soybeans Nov 14,"$1,243.00",19,"$1,240.00","$1,232.25",15-Mar-13,1:18pm,"$1,238.00"
SN15.CBT,Soybeans Jul 15,"$1,231.00",1,"$1,231.00","$1,231.00",15-Mar-13,1:14pm,"$1,237.25"
ZWK13.CBT,Wheat Futures Set,$720.25,"41,327",$725.00,$717.50,15-Mar-13,1:42pm,$724.75
ZWZ13.CBT,Wheat Futures Set,$735.25,"12,277",$738.00,$728.00,15-Mar-13,1:41pm,$736.50
ZWH14.CBT,Wheat Futures Set,$748.00,414,$748.00,$740.50,15-Mar-13,12:17pm,$748.25
ZWN14.CBT,Wheat Futures Set,$741.00,155,$741.00,$739.00,15-Mar-13,12:57pm,$741.25
