Symbol,Name,Price,Volume,Day Hi,Day Lo,Date,Time,Prev. Close
FCH13.CME,Feeder Cattle Mar,$136.88,"1,140",$137.93,$136.70,15-Mar-13,1:12pm,$138.28
FCJ13.CME,Feeder Cattle Apr,$139.40,"2,251",$142.28,$139.25,15-Mar-13,1:12pm,$141.55
FCK13.CME,Feeder Cattle May,$141.15,"2,028",$144.10,$140.90,15-Mar-13,1:12pm,$143.30
FCQ13.CME,Feeder Cattle Aug,$148.33,764,$151.25,$148.05,15-Mar-13,1:08pm,$150.48
FCU13.CME,Feeder Cattle Sep,$150.18,153,$152.60,$150.03,15-Mar-13,1:05pm,$152.60
FCV13.CME,Feeder Cattle Oct,$151.48,62,$154.10,$151.35,15-Mar-13,1:05pm,$154.10
FCX13.CME,Feeder Cattle Nov,$152.35,39,$154.15,$152.35,15-Mar-13,1:08pm,$154.78
FCF13.CME,Feeder Cattle Jan,$145.83,10,$146.30,$145.83,30-Jan-13,2:59pm,$145.83
LHJ13.CME,Lean Hogs Apr 13,$79.65,"11,078",$80.75,$79.60,15-Mar-13,1:12pm,$80.88
LHK13.CME,Lean Hogs May 13,$88.68,206,$89.33,$88.43,15-Mar-13,12:54pm,$89.80
LHM13.CME,Lean Hogs Jun 13,$89.20,"10,975",$90.35,$88.98,15-Mar-13,1:12pm,$90.53
LHN13.CME,Lean Hogs Jul 13,$89.85,"1,270",$90.85,$89.75,15-Mar-13,1:11pm,$91.15
LHQ13.CME,Lean Hogs Aug 13,$89.88,"1,551",$90.40,$89.73,15-Mar-13,12:57pm,$91.05
LHV13.CME,Lean Hogs Oct 13,$80.95,425,$81.43,$80.68,15-Mar-13,1:06pm,$82.18
LHZ13.CME,Lean Hogs Dec 13,$78.25,247,$79.08,$77.90,15-Mar-13,12:50pm,$79.15
LHG14.CME,Lean Hogs Feb 14,$80.58,105,$81.50,$80.55,15-Mar-13,12:36pm,$81.70
LHJ14.CME,Lean Hogs Apr 14,$82.98,13,$82.95,$82.70,14-Mar-13,2:39pm,$83.40
LHM14.CME,Lean Hogs Jun 14,$89.43,3,$89.43,$89.33,15-Mar-13,11:07am,$90.40
LHN14.CME,Lean Hogs Jul 14,$89.50,25,$90.00,$90.00,12-Mar-13,9:45am,$89.50
LCJ13.CME,Live Cattle Apr 1,$125.98,"29,084",$127.90,$125.85,15-Mar-13,1:12pm,$128.05
LCM13.CME,Live Cattle Jun 1,$121.38,"17,706",$122.90,$121.28,15-Mar-13,1:12pm,$123.15
LCQ13.CME,Live Cattle Aug 1,$122.58,"5,502",$124.20,$122.45,15-Mar-13,1:12pm,$124.38
LCV13.CME,Live Cattle Oct 1,$126.93,"3,042",$128.50,$126.85,15-Mar-13,1:10pm,$128.50
LCZ13.CME,Live Cattle Dec 1,$128.00,"1,480",$128.75,$128.00,15-Mar-13,1:01pm,$129.53
LCG14.CME,Live Cattle Feb 1,$128.98,167,$130.18,$128.98,15-Mar-13,12:31pm,$130.65
LCJ14.CME,Live Cattle Apr 1,$130.23,18,$131.08,$130.03,15-Mar-13,12:55pm,$131.75
LCM14.CME,Live Cattle Jun 1,$128.50,0,$128.70,$128.20,13-Mar-13,11:07am,$128.20
