Symbol,Name,Price,Volume,Day Hi,Day Lo,Date,Time,Prev. Close
HGH13.CMX,Copper Mar 13,$3.51 ,306,$3.53 ,$3.51 ,15-Mar-13,1:29pm,$3.52 
HGJ13.CMX,Copper Apr 13,$3.51 ,623,$3.54 ,$3.51 ,15-Mar-13,1:29pm,$3.53 
HGK13.CMX,Copper May 13,$3.52 ,"44,555",$3.56 ,$3.52 ,15-Mar-13,1:42pm,$3.54 
HGM13.CMX,Copper Jun 13,$3.53 ,243,$3.55 ,$3.53 ,15-Mar-13,1:29pm,$3.55 
HGN13.CMX,Copper Jul 13,$3.54 ,"4,788",$3.58 ,$3.53 ,15-Mar-13,1:30pm,$3.55 
HGQ13.CMX,Copper Aug 13,$3.54 ,12,$3.55 ,$3.54 ,15-Mar-13,1:15pm,$3.56 
HGU13.CMX,Copper Sep 13,$3.55 ,"1,400",$3.58 ,$3.55 ,15-Mar-13,1:15pm,$3.57 
HGV13.CMX,Copper Oct 13,$3.58 ,6,$3.58 ,$3.58 ,15-Mar-13,1:15pm,$3.57 
HGX13.CMX,Copper Nov 13,$3.58 ,3,$3.58 ,$3.58 ,15-Mar-13,1:15pm,$3.58 
HGZ13.CMX,Copper Dec 13,$3.57 ,146,$3.60 ,$3.57 ,15-Mar-13,1:15pm,$3.59 
HGF14.CMX,Copper Jan 14,$3.61 ,1,$3.61 ,$3.61 ,15-Mar-13,1:29pm,$3.59 
HGG14.CMX,Copper Feb 14,$3.62 ,20,N/A,N/A,15-Mar-13,1:29pm,$3.60 
HGH14.CMX,Copper Mar 14,$3.59 ,7,$3.59 ,$3.59 ,15-Mar-13,1:31pm,$3.61 
HGJ14.CMX,Copper Apr 14,$3.58 ,2,$3.58 ,$3.57 ,15-Mar-13,1:29pm,$3.61 
HGK14.CMX,Copper May 14,$3.60 ,1,$3.60 ,$3.60 ,15-Mar-13,1:29pm,$3.62 
ZGJ13.CBT,Gold 100 oz. Apr ,"$1,590.30 ",3,"$1,592.10 ","$1,590.20 ",15-Mar-13,1:29pm,"$1,590.70 "
ZGM13.CBT,Gold 100 oz. Jun ,"$1,578.60 ",2,"$1,578.60 ","$1,578.60 ",15-Mar-13,1:19pm,"$1,592.80 "
ZGQ13.CBT,Gold 100 oz. Aug ,"$1,596.00 ",2,"$1,596.00 ","$1,596.00 ",15-Mar-13,1:19pm,"$1,594.40 "
ZGV13.CBT,Gold 100 oz. Oct ,"$1,580.40 ",4,"$1,580.40 ","$1,580.40 ",15-Mar-13,1:19pm,"$1,595.70 "
ZGG14.CBT,Gold 100 oz. Feb ,"$1,583.40 ",3,"$1,583.40 ","$1,583.40 ",15-Mar-13,1:19pm,"$1,598.50 "
GCH13.CMX,Gold Mar 13,"$1,594.40 ",11,"$1,594.40 ","$1,590.20 ",15-Mar-13,1:29pm,"$1,590.60 "
GCJ13.CMX,Gold Apr 13,"$1,591.90 ","84,461","$1,597.90 ","$1,587.30 ",15-Mar-13,1:42pm,"$1,590.70 "
GCK13.CMX,Gold May 13,"$1,593.90 ",45,"$1,598.00 ","$1,590.60 ",15-Mar-13,1:29pm,"$1,591.70 "
GCM13.CMX,Gold Jun 13,"$1,594.10 ","5,423","$1,599.80 ","$1,589.80 ",15-Mar-13,1:42pm,"$1,592.80 "
GCQ13.CMX,Gold Aug 13,"$1,595.50 ","1,327","$1,600.00 ","$1,592.50 ",15-Mar-13,1:36pm,"$1,594.30 "
GCV13.CMX,Gold Oct 13,"$1,597.60 ",118,"$1,601.90 ","$1,594.50 ",15-Mar-13,1:30pm,"$1,595.70 "
GCZ13.CMX,Gold Dec 13,"$1,599.40 ",727,"$1,603.00 ","$1,595.00 ",15-Mar-13,1:29pm,"$1,597.10 "
